2023-08-28 12:07:43.043519 : <selenium.webdriver.remote.webelement.WebElement (session="b9ec1d9d663fff87f8efa163b7c19a0e", element="7AA0A9C91B8D265953FA2F632131C127_element_288")>
2023-08-28 12:07:44.238845 : gridy jdou videt
2023-08-28 12:07:44.248906 : gridy jdou videt
2023-08-28 12:07:44.258722 : gridy jdou videt
2023-08-28 12:07:44.268807 : gridy jdou videt
2023-08-28 12:07:44.278480 : gridy jdou videt
2023-08-28 12:07:44.289044 : gridy jdou videt
2023-08-28 12:07:44.299246 : gridy jdou videt
2023-08-28 12:07:44.309040 : gridy jdou videt
2023-08-28 12:07:44.319574 : gridy jdou videt
2023-08-28 12:07:44.329697 : gridy jdou videt
2023-08-28 12:07:44.339580 : gridy jdou videt
2023-08-28 12:07:44.349191 : gridy jdou videt
2023-08-28 12:07:44.364728 : gridy jdou videt
2023-08-28 12:07:44.375297 : gridy jdou videt
2023-08-28 12:07:44.386401 : gridy jdou videt
2023-08-28 12:07:44.397354 : gridy jdou videt
2023-08-28 12:07:44.407684 : gridy jdou videt
2023-08-28 12:07:44.417461 : gridy jdou videt
2023-08-28 12:07:44.428215 : gridy jdou videt
2023-08-28 12:07:44.438812 : gridy jdou videt
2023-08-28 12:07:44.449049 : gridy jdou videt
2023-08-28 12:07:44.459247 : gridy jdou videt
2023-08-28 12:07:44.469786 : gridy jdou videt
2023-08-28 12:07:44.480080 : gridy jdou videt
2023-08-28 12:07:44.490554 : gridy jdou videt
2023-08-28 12:07:44.500991 : gridy jdou videt
2023-08-28 12:07:44.510576 : gridy jdou videt
2023-08-28 12:07:44.521127 : gridy jdou videt
2023-08-28 12:07:44.531953 : gridy jdou videt
2023-08-28 12:07:44.542234 : gridy jdou videt
2023-08-28 12:07:44.552593 : gridy jdou videt
2023-08-28 12:07:44.563183 : gridy jdou videt
2023-08-28 12:07:44.573285 : gridy jdou videt
2023-08-28 12:07:44.583623 : gridy jdou videt
2023-08-28 12:07:44.594202 : gridy jdou videt
2023-08-28 12:07:44.604959 : gridy jdou videt
2023-08-28 12:07:44.615168 : gridy jdou videt
2023-08-28 12:07:44.672716 : content jdou videt
2023-08-28 12:07:44.682739 : content jdou videt
2023-08-28 12:07:44.693315 : content jdou videt
2023-08-28 12:07:44.703153 : content jdou videt
2023-08-28 12:07:44.714744 : content jdou videt
2023-08-28 12:07:44.725135 : content jdou videt
2023-08-28 12:07:44.735869 : content jdou videt
2023-08-28 12:07:44.745703 : content jdou videt
2023-08-28 12:07:44.756934 : content jdou videt
2023-08-28 12:07:44.798732 : content jdou videt
2023-08-28 12:07:44.810165 : content jdou videt
2023-08-28 12:07:44.820626 : content jdou videt
2023-08-28 12:07:44.831165 : content jdou videt
2023-08-28 12:07:44.841896 : content jdou videt
2023-08-28 12:07:44.852361 : content jdou videt
2023-08-28 12:07:44.863104 : content jdou videt
2023-08-28 12:07:44.875121 : content jdou videt
2023-08-28 12:07:44.886023 : content jdou videt
2023-08-28 12:07:44.896884 : content jdou videt
2023-08-28 12:07:44.908133 : content jdou videt
2023-08-28 12:07:44.919186 : content jdou videt
2023-08-28 12:07:44.929806 : content jdou videt
2023-08-28 12:07:44.940578 : content jdou videt
2023-08-28 12:07:44.950609 : content jdou videt
2023-08-28 12:07:44.961550 : content jdou videt
2023-08-28 12:07:44.972149 : content jdou videt
2023-08-28 12:07:44.982386 : content jdou videt
2023-08-28 12:07:44.993076 : content jdou videt
2023-08-28 12:07:45.003709 : content jdou videt
2023-08-28 12:07:45.013997 : content jdou videt
2023-08-28 12:07:45.025068 : content jdou videt
2023-08-28 12:07:45.035651 : content jdou videt
2023-08-28 12:07:45.046092 : content jdou videt
2023-08-28 12:07:45.056995 : content jdou videt
2023-08-28 12:07:45.067508 : content jdou videt
2023-08-28 12:07:45.077663 : content jdou videt
2023-08-28 12:07:45.088234 : content jdou videt
2023-08-28 12:07:45.093874 : https://exim.web11.dtweb.cz/covid-info
2023-08-28 12:07:55.912034 : <selenium.webdriver.remote.webelement.WebElement (session="f5b16e30e3a28086aef294282b7b56fd", element="1805B49FEE7A3A9264F3088EAB363E19_element_519")>
2023-08-28 12:07:56.146109 : https://exim.web11.dtweb.cz//turecko/turecka-riviera/avsallar/incekum-su?D=63260|63288|63448|64152|64153|64154|64157|211801|211814&DD=2023-08-28&DP=4305&DPR=EXIM+TOURS+ATCOM&DS=8192&GIATA=59394&HID=374&MNN=7&MT=5&NN=7&PID=AYT19071&RD=2023-09-04&TO=4305&df=2023-08-21|2023-09-30&nnm=7|8|9|10|11|12|13&sortby=Departure&tt=1&ttm=1#/prehled
