2023-11-03 16:42:39.662022 : <selenium.webdriver.remote.webelement.WebElement (session="58a37f6c242665e8e126f46259a8c31e", element="29432AB79CF7F66689FB587B75C3F4D1_element_264")>
2023-11-03 16:43:07.578710 : nenasle se exponea banner
2023-11-03 16:43:07.709721 : gridy jdou videt
2023-11-03 16:43:07.719913 : gridy jdou videt
2023-11-03 16:43:07.730887 : gridy jdou videt
2023-11-03 16:43:07.740894 : gridy jdou videt
2023-11-03 16:43:07.751053 : gridy jdou videt
2023-11-03 16:43:07.761602 : gridy jdou videt
2023-11-03 16:43:07.772187 : gridy jdou videt
2023-11-03 16:43:07.782243 : gridy jdou videt
2023-11-03 16:43:07.794210 : gridy jdou videt
2023-11-03 16:43:07.807553 : gridy jdou videt
2023-11-03 16:43:07.818884 : gridy jdou videt
2023-11-03 16:43:07.828696 : gridy jdou videt
2023-11-03 16:43:07.841834 : gridy jdou videt
2023-11-03 16:43:07.851262 : gridy jdou videt
2023-11-03 16:43:07.862249 : gridy jdou videt
2023-11-03 16:43:07.874215 : gridy jdou videt
2023-11-03 16:43:07.885129 : gridy jdou videt
2023-11-03 16:43:07.893832 : gridy jdou videt
2023-11-03 16:43:07.903805 : gridy jdou videt
2023-11-03 16:43:07.913778 : gridy jdou videt
2023-11-03 16:43:07.966637 : content jdou videt
2023-11-03 16:43:07.975614 : content jdou videt
2023-11-03 16:43:07.984590 : content jdou videt
2023-11-03 16:43:07.995560 : content jdou videt
2023-11-03 16:43:08.005533 : content jdou videt
2023-11-03 16:43:08.015507 : content jdou videt
2023-11-03 16:43:08.025481 : content jdou videt
2023-11-03 16:43:08.035454 : content jdou videt
2023-11-03 16:43:08.044430 : content jdou videt
2023-11-03 16:43:08.056398 : content jdou videt
2023-11-03 16:43:08.066372 : content jdou videt
2023-11-03 16:43:08.076345 : content jdou videt
2023-11-03 16:43:08.086318 : content jdou videt
2023-11-03 16:43:08.095294 : content jdou videt
2023-11-03 16:43:08.104270 : content jdou videt
2023-11-03 16:43:08.113247 : content jdou videt
2023-11-03 16:43:08.122223 : content jdou videt
2023-11-03 16:43:08.130201 : content jdou videt
2023-11-03 16:43:08.139178 : content jdou videt
2023-11-03 16:43:08.147156 : content jdou videt
2023-11-03 16:43:08.167103 : https://fischersk.stg.dtweb.cz/covid-info
2023-11-03 16:43:23.299355 : <selenium.webdriver.remote.webelement.WebElement (session="f724dfdded4ce2d2d3685f4a4669b6d0", element="54E91D36762549D5DB013D3DF8721D06_element_532")>
2023-11-03 16:43:23.535724 : https://fischersk.stg.dtweb.cz//egypt/egypt-hurghada/hurghada/sentido-mamlouk-palace?AC1=2&D=653|819|724&DD=2023-10-01&DP=1837&DPR=FISCHER+SK+ATCOM&DS=256&GIATA=78630&HID=145866&IC1=0&IFM=0&ILM=0&KC1=0&MNN=7&MT=5&NN=7&PID=HRG22103&RD=2023-10-08&TO=1837&acm1=2&df=2023-10-01|2023-10-15&nnm=7&tt=1&ttm=1#/preh%C4%BEad
